country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Bahamas,12100,,,,,14400,,,,,17100,,,,,21200,,,,,25200,,,,,27300,,,,,29700,,,,,34600,,,,,40700,,,,,49600,,,,,60200,,,,,76300,,,,,92400,,,,,102000,,,,,106000,,,,,110000,,,,,116000,,,,,123000,,,,,129000,,,,,125000,,,,,122000,,,,,119000,,,,,117000,,,,,120000,,,,,120000,,,,,118000,,,,,115000,,,,,112000,,,,,111000,,,,,110000,,,,,109000
Bahrain,15000,,,,,17900,,,,,22100,,,,,20600,,,,,29000,,,,,36900,,,,,47600,,,,,55900,,,,,66000,,,,,90300,,,,,124000,,,,,179000,,,,,287000,,,,,335000,,,,,401000,,,,,507000,,,,,568000,,,,,606000,,,,,641000,,,,,682000,,,,,749000,,,,,795000,,,,,789000,,,,,753000,,,,,714000,,,,,669000,,,,,629000,,,,,600000,,,,,579000,,,,,557000,,,,,541000
Bangladesh,5500000,,,,,6270000,,,,,7160000,,,,,8170000,,,,,9340000,,,,,10700000,,,,,11900000,,,,,13000000,,,,,14600000,,,,,15700000,,,,,18000000,,,,,21700000,,,,,26000000,,,,,31200000,,,,,36700000,,,,,41800000,,,,,46200000,,,,,50500000,,,,,53700000,,,,,55700000,,,,,56400000,,,,,56000000,,,,,54800000,,,,,52900000,,,,,51000000,,,,,48900000,,,,,46600000,,,,,44200000,,,,,42100000,,,,,40300000,,,,,38700000
Barbados,40000,,,,,46300,,,,,45400,,,,,43400,,,,,42100,,,,,41800,,,,,37900,,,,,38500,,,,,42900,,,,,53400,,,,,64800,,,,,74700,,,,,78700,,,,,80300,,,,,77300,,,,,74000,,,,,71100,,,,,68200,,,,,66500,,,,,65000,,,,,64300,,,,,63600,,,,,63100,,,,,62100,,,,,61100,,,,,60100,,,,,59300,,,,,58600,,,,,57900,,,,,57300,,,,,56600
Belarus,1670000,,,,,1720000,,,,,1640000,,,,,1670000,,,,,1910000,,,,,2150000,,,,,2540000,,,,,2450000,,,,,2340000,,,,,2370000,,,,,2500000,,,,,2770000,,,,,2780000,,,,,2750000,,,,,2610000,,,,,2590000,,,,,2680000,,,,,2630000,,,,,2420000,,,,,2140000,,,,,1920000,,,,,1900000,,,,,2000000,,,,,2070000,,,,,2020000,,,,,1900000,,,,,1810000,,,,,1790000,,,,,1820000,,,,,1850000,,,,,1830000
Belgium,2380000,,,,,2450000,,,,,2300000,,,,,2310000,,,,,2310000,,,,,2320000,,,,,2440000,,,,,2340000,,,,,2430000,,,,,2540000,,,,,2720000,,,,,2990000,,,,,3070000,,,,,3140000,,,,,3120000,,,,,3060000,,,,,3020000,,,,,3010000,,,,,2960000,,,,,2910000,,,,,2890000,,,,,2890000,,,,,2940000,,,,,2980000,,,,,2970000,,,,,2940000,,,,,2910000,,,,,2900000,,,,,2910000,,,,,2930000,,,,,2930000
Belize,11100,,,,,12300,,,,,13500,,,,,14600,,,,,15800,,,,,15400,,,,,17100,,,,,18000,,,,,19700,,,,,24200,,,,,29200,,,,,36700,,,,,53000,,,,,64800,,,,,75900,,,,,88200,,,,,102000,,,,,118000,,,,,136000,,,,,150000,,,,,158000,,,,,163000,,,,,167000,,,,,171000,,,,,177000,,,,,179000,,,,,179000,,,,,177000,,,,,176000,,,,,174000,,,,,173000
Benin,423000,,,,,420000,,,,,419000,,,,,421000,,,,,426000,,,,,443000,,,,,480000,,,,,544000,,,,,617000,,,,,724000,,,,,839000,,,,,984000,,,,,1170000,,,,,1380000,,,,,1630000,,,,,1930000,,,,,2270000,,,,,2690000,,,,,3170000,,,,,3700000,,,,,4280000,,,,,4910000,,,,,5550000,,,,,6210000,,,,,6860000,,,,,7520000,,,,,8170000,,,,,8800000,,,,,9400000,,,,,9970000,,,,,10500000
Bhutan,23800,,,,,26600,,,,,30100,,,,,34600,,,,,41100,,,,,49000,,,,,58200,,,,,67200,,,,,77400,,,,,64300,,,,,73900,,,,,92200,,,,,117000,,,,,142000,,,,,172000,,,,,212000,,,,,247000,,,,,275000,,,,,288000,,,,,284000,,,,,275000,,,,,266000,,,,,261000,,,,,257000,,,,,249000,,,,,239000,,,,,227000,,,,,216000,,,,,208000,,,,,202000,,,,,197000
Bolivia,463000,,,,,492000,,,,,526000,,,,,570000,,,,,628000,,,,,682000,,,,,746000,,,,,836000,,,,,920000,,,,,1060000,,,,,1220000,,,,,1380000,,,,,1580000,,,,,1800000,,,,,2090000,,,,,2410000,,,,,2750000,,,,,3070000,,,,,3380000,,,,,3650000,,,,,3870000,,,,,4030000,,,,,4160000,,,,,4260000,,,,,4360000,,,,,4440000,,,,,4480000,,,,,4480000,,,,,4450000,,,,,4410000,,,,,4350000
Bosnia and Herzegovina,447000,,,,,491000,,,,,479000,,,,,512000,,,,,597000,,,,,736000,,,,,915000,,,,,952000,,,,,1000000,,,,,935000,,,,,937000,,,,,1070000,,,,,1090000,,,,,1030000,,,,,996000,,,,,955000,,,,,955000,,,,,941000,,,,,928000,,,,,860000,,,,,788000,,,,,716000,,,,,648000,,,,,635000,,,,,620000,,,,,604000,,,,,578000,,,,,546000,,,,,520000,,,,,505000,,,,,498000
Botswana,57200,,,,,58200,,,,,62000,,,,,69500,,,,,78600,,,,,94300,,,,,115000,,,,,134000,,,,,159000,,,,,201000,,,,,235000,,,,,264000,,,,,306000,,,,,361000,,,,,449000,,,,,565000,,,,,673000,,,,,760000,,,,,811000,,,,,829000,,,,,854000,,,,,899000,,,,,944000,,,,,983000,,,,,1000000,,,,,994000,,,,,984000,,,,,977000,,,,,972000,,,,,964000,,,,,950000
Brazil,7850000,,,,,9070000,,,,,10200000,,,,,11700000,,,,,13600000,,,,,15500000,,,,,18000000,,,,,20400000,,,,,23500000,,,,,27900000,,,,,32900000,,,,,39100000,,,,,44600000,,,,,49300000,,,,,54200000,,,,,58900000,,,,,62500000,,,,,65000000,,,,,66000000,,,,,64700000,,,,,62500000,,,,,60500000,,,,,57800000,,,,,55400000,,,,,53500000,,,,,51200000,,,,,49000000,,,,,47000000,,,,,45400000,,,,,43900000,,,,,42500000
Brunei,8360,,,,,10100,,,,,12400,,,,,15400,,,,,20100,,,,,25900,,,,,23300,,,,,29100,,,,,34600,,,,,45200,,,,,58000,,,,,73200,,,,,84600,,,,,104000,,,,,120000,,,,,135000,,,,,145000,,,,,147000,,,,,148000,,,,,143000,,,,,137000,,,,,136000,,,,,134000,,,,,132000,,,,,131000,,,,,127000,,,,,123000,,,,,119000,,,,,116000,,,,,114000,,,,,112000
Bulgaria,1570000,,,,,1770000,,,,,1780000,,,,,1990000,,,,,2140000,,,,,2250000,,,,,2380000,,,,,2290000,,,,,2280000,,,,,2200000,,,,,2190000,,,,,2190000,,,,,2060000,,,,,2020000,,,,,2010000,,,,,1970000,,,,,1940000,,,,,1790000,,,,,1540000,,,,,1370000,,,,,1240000,,,,,1180000,,,,,1200000,,,,,1180000,,,,,1120000,,,,,1050000,,,,,996000,,,,,965000,,,,,951000,,,,,941000,,,,,916000
Burkina Faso,637000,,,,,694000,,,,,751000,,,,,793000,,,,,824000,,,,,844000,,,,,872000,,,,,927000,,,,,1000000,,,,,1110000,,,,,1260000,,,,,1470000,,,,,1760000,,,,,2110000,,,,,2560000,,,,,3120000,,,,,3730000,,,,,4450000,,,,,5270000,,,,,6250000,,,,,7430000,,,,,8710000,,,,,10000000,,,,,11400000,,,,,12700000,,,,,14000000,,,,,15300000,,,,,16600000,,,,,17800000,,,,,18900000,,,,,19800000
Burundi,338000,,,,,371000,,,,,403000,,,,,436000,,,,,470000,,,,,472000,,,,,501000,,,,,539000,,,,,586000,,,,,659000,,,,,724000,,,,,891000,,,,,1100000,,,,,1200000,,,,,1370000,,,,,1670000,,,,,2110000,,,,,2630000,,,,,3090000,,,,,3550000,,,,,4110000,,,,,4840000,,,,,5740000,,,,,6670000,,,,,7490000,,,,,8280000,,,,,9110000,,,,,10000000,,,,,11000000,,,,,11900000,,,,,12600000
Cambodia,622000,,,,,691000,,,,,769000,,,,,857000,,,,,917000,,,,,987000,,,,,959000,,,,,1040000,,,,,1140000,,,,,1400000,,,,,1640000,,,,,2050000,,,,,2450000,,,,,2760000,,,,,2820000,,,,,3700000,,,,,4100000,,,,,4760000,,,,,5480000,,,,,5210000,,,,,5480000,,,,,5560000,,,,,5760000,,,,,5980000,,,,,6020000,,,,,5950000,,,,,5870000,,,,,5820000,,,,,5770000,,,,,5670000,,,,,5520000
Cameroon,682000,,,,,743000,,,,,813000,,,,,894000,,,,,986000,,,,,1090000,,,,,1210000,,,,,1340000,,,,,1480000,,,,,1630000,,,,,1790000,,,,,2010000,,,,,2320000,,,,,2730000,,,,,3290000,,,,,4050000,,,,,4940000,,,,,5890000,,,,,6860000,,,,,7950000,,,,,9200000,,,,,10600000,,,,,12100000,,,,,13400000,,,,,14700000,,,,,16000000,,,,,17200000,,,,,18500000,,,,,19700000,,,,,20800000,,,,,21700000
Canada,2800000,,,,,3200000,,,,,3630000,,,,,4070000,,,,,4480000,,,,,4770000,,,,,5020000,,,,,5380000,,,,,6210000,,,,,7250000,,,,,8530000,,,,,9700000,,,,,10100000,,,,,10200000,,,,,10000000,,,,,9940000,,,,,10300000,,,,,10800000,,,,,11000000,,,,,10900000,,,,,10900000,,,,,10900000,,,,,11100000,,,,,11400000,,,,,11500000,,,,,11500000,,,,,11500000,,,,,11500000,,,,,11600000,,,,,11600000,,,,,11700000
Cape Verde,31800,,,,,36400,,,,,34100,,,,,32900,,,,,33800,,,,,34400,,,,,35300,,,,,35200,,,,,33700,,,,,38200,,,,,44200,,,,,60700,,,,,79800,,,,,90200,,,,,103000,,,,,119000,,,,,142000,,,,,168000,,,,,190000,,,,,201000,,,,,204000,,,,,203000,,,,,203000,,,,,203000,,,,,202000,,,,,199000,,,,,194000,,,,,187000,,,,,181000,,,,,175000,,,,,170000
Central African Republic,233000,,,,,243000,,,,,252000,,,,,269000,,,,,292000,,,,,315000,,,,,346000,,,,,384000,,,,,406000,,,,,447000,,,,,488000,,,,,520000,,,,,552000,,,,,552000,,,,,601000,,,,,691000,,,,,807000,,,,,961000,,,,,1180000,,,,,1440000,,,,,1720000,,,,,1990000,,,,,2190000,,,,,2390000,,,,,2600000,,,,,2830000,,,,,3050000,,,,,3220000,,,,,3340000,,,,,3430000,,,,,3510000
Chad,418000,,,,,448000,,,,,476000,,,,,511000,,,,,544000,,,,,581000,,,,,607000,,,,,644000,,,,,708000,,,,,812000,,,,,935000,,,,,1090000,,,,,1250000,,,,,1460000,,,,,1730000,,,,,2100000,,,,,2560000,,,,,3130000,,,,,3830000,,,,,4640000,,,,,5550000,,,,,6530000,,,,,7570000,,,,,8640000,,,,,9720000,,,,,10800000,,,,,11800000,,,,,12700000,,,,,13600000,,,,,14300000,,,,,15000000
Chile,1120000,,,,,1200000,,,,,1280000,,,,,1380000,,,,,1510000,,,,,1650000,,,,,1810000,,,,,2060000,,,,,2350000,,,,,2790000,,,,,3300000,,,,,3820000,,,,,4320000,,,,,4620000,,,,,4810000,,,,,4970000,,,,,5180000,,,,,5380000,,,,,5520000,,,,,5500000,,,,,5350000,,,,,5160000,,,,,5030000,,,,,4930000,,,,,4820000,,,,,4710000,,,,,4590000,,,,,4470000,,,,,4360000,,,,,4260000,,,,,4180000
China,106000000,,,,,112000000,,,,,119000000,,,,,124000000,,,,,135000000,,,,,149000000,,,,,162000000,,,,,177000000,,,,,201000000,,,,,243000000,,,,,279000000,,,,,333000000,,,,,395000000,,,,,425000000,,,,,435000000,,,,,431000000,,,,,435000000,,,,,416000000,,,,,399000000,,,,,375000000,,,,,328000000,,,,,313000000,,,,,314000000,,,,,308000000,,,,,295000000,,,,,275000000,,,,,260000000,,,,,252000000,,,,,247000000,,,,,242000000,,,,,235000000
Colombia,1750000,,,,,2000000,,,,,2230000,,,,,2500000,,,,,2760000,,,,,3050000,,,,,3420000,,,,,3900000,,,,,4710000,,,,,5860000,,,,,7250000,,,,,8870000,,,,,10400000,,,,,11400000,,,,,12400000,,,,,13300000,,,,,14000000,,,,,14800000,,,,,15000000,,,,,15000000,,,,,14800000,,,,,14300000,,,,,13900000,,,,,13300000,,,,,12700000,,,,,12200000,,,,,11700000,,,,,11300000,,,,,10900000,,,,,10600000,,,,,10200000
Comoros,24600,,,,,27800,,,,,30200,,,,,32000,,,,,33900,,,,,36100,,,,,40900,,,,,44400,,,,,48200,,,,,55900,,,,,66500,,,,,78900,,,,,93900,,,,,109000,,,,,128000,,,,,152000,,,,,180000,,,,,209000,,,,,238000,,,,,266000,,,,,295000,,,,,330000,,,,,364000,,,,,396000,,,,,424000,,,,,449000,,,,,472000,,,,,495000,,,,,517000,,,,,536000,,,,,550000
"Congo, Dem. Rep.",1610000,,,,,1800000,,,,,2040000,,,,,2320000,,,,,2680000,,,,,3060000,,,,,3510000,,,,,3970000,,,,,4550000,,,,,5330000,,,,,5910000,,,,,6760000,,,,,7860000,,,,,9250000,,,,,10900000,,,,,13000000,,,,,15400000,,,,,18300000,,,,,21800000,,,,,26200000,,,,,31600000,,,,,37900000,,,,,44800000,,,,,51900000,,,,,59000000,,,,,65900000,,,,,72700000,,,,,79100000,,,,,84800000,,,,,89700000,,,,,93700000
"Congo, Rep.",129000,,,,,144000,,,,,159000,,,,,177000,,,,,198000,,,,,222000,,,,,247000,,,,,277000,,,,,311000,,,,,353000,,,,,405000,,,,,472000,,,,,584000,,,,,708000,,,,,860000,,,,,1010000,,,,,1150000,,,,,1270000,,,,,1430000,,,,,1660000,,,,,1980000,,,,,2350000,,,,,2700000,,,,,3020000,,,,,3330000,,,,,3670000,,,,,4050000,,,,,4420000,,,,,4760000,,,,,5080000,,,,,5370000
Costa Rica,133000,,,,,157000,,,,,182000,,,,,213000,,,,,251000,,,,,294000,,,,,348000,,,,,415000,,,,,503000,,,,,608000,,,,,758000,,,,,924000,,,,,1060000,,,,,1160000,,,,,1250000,,,,,1330000,,,,,1430000,,,,,1540000,,,,,1590000,,,,,1570000,,,,,1520000,,,,,1460000,,,,,1410000,,,,,1380000,,,,,1330000,,,,,1280000,,,,,1240000,,,,,1200000,,,,,1160000,,,,,1130000,,,,,1110000
Cote d'Ivoire,357000,,,,,414000,,,,,486000,,,,,589000,,,,,716000,,,,,906000,,,,,1140000,,,,,1400000,,,,,1670000,,,,,1980000,,,,,2250000,,,,,2450000,,,,,2710000,,,,,3050000,,,,,3500000,,,,,4040000,,,,,4710000,,,,,5560000,,,,,6570000,,,,,7670000,,,,,8830000,,,,,10100000,,,,,11400000,,,,,12900000,,,,,14500000,,,,,16000000,,,,,17600000,,,,,19200000,,,,,20700000,,,,,22300000,,,,,23800000
Croatia,913000,,,,,972000,,,,,926000,,,,,962000,,,,,1020000,,,,,1120000,,,,,1250000,,,,,1220000,,,,,1230000,,,,,1230000,,,,,1180000,,,,,1260000,,,,,1230000,,,,,1180000,,,,,1130000,,,,,1100000,,,,,1090000,,,,,1030000,,,,,976000,,,,,895000,,,,,846000,,,,,819000,,,,,775000,,,,,750000,,,,,702000,,,,,661000,,,,,634000,,,,,617000,,,,,603000,,,,,587000,,,,,567000
Cuba,1030000,,,,,1200000,,,,,1340000,,,,,1400000,,,,,1450000,,,,,1540000,,,,,1690000,,,,,1840000,,,,,2020000,,,,,2280000,,,,,2480000,,,,,2980000,,,,,3440000,,,,,3730000,,,,,3680000,,,,,3310000,,,,,3070000,,,,,2800000,,,,,2790000,,,,,2710000,,,,,2460000,,,,,2350000,,,,,2260000,,,,,2220000,,,,,2180000,,,,,2090000,,,,,2000000,,,,,1920000,,,,,1870000,,,,,1830000,,,,,1790000
Cyprus,91000,,,,,102000,,,,,107000,,,,,108000,,,,,115000,,,,,124000,,,,,134000,,,,,142000,,,,,161000,,,,,191000,,,,,225000,,,,,256000,,,,,276000,,,,,288000,,,,,314000,,,,,339000,,,,,360000,,,,,376000,,,,,381000,,,,,379000,,,,,371000,,,,,362000,,,,,351000,,,,,339000,,,,,328000,,,,,318000,,,,,312000,,,,,309000,,,,,306000,,,,,302000,,,,,297000
Czech Republic,2420000,,,,,2620000,,,,,2400000,,,,,2470000,,,,,2370000,,,,,2270000,,,,,2390000,,,,,2360000,,,,,2550000,,,,,2770000,,,,,2930000,,,,,2920000,,,,,2840000,,,,,2910000,,,,,3140000,,,,,3210000,,,,,3220000,,,,,2990000,,,,,2570000,,,,,2340000,,,,,2250000,,,,,2210000,,,,,2300000,,,,,2330000,,,,,2230000,,,,,2130000,,,,,2060000,,,,,2040000,,,,,2060000,,,,,2090000,,,,,2070000
Denmark,1040000,,,,,1120000,,,,,1160000,,,,,1180000,,,,,1170000,,,,,1130000,,,,,1130000,,,,,1190000,,,,,1310000,,,,,1410000,,,,,1480000,,,,,1530000,,,,,1530000,,,,,1560000,,,,,1550000,,,,,1470000,,,,,1410000,,,,,1450000,,,,,1500000,,,,,1560000,,,,,1590000,,,,,1530000,,,,,1500000,,,,,1500000,,,,,1520000,,,,,1560000,,,,,1580000,,,,,1570000,,,,,1550000,,,,,1530000,,,,,1540000
Djibouti,7440,,,,,8750,,,,,10800,,,,,14700,,,,,20200,,,,,28000,,,,,42400,,,,,51500,,,,,73000,,,,,78000,,,,,93800,,,,,112000,,,,,132000,,,,,157000,,,,,187000,,,,,214000,,,,,254000,,,,,290000,,,,,318000,,,,,342000,,,,,347000,,,,,353000,,,,,357000,,,,,360000,,,,,364000,,,,,364000,,,,,359000,,,,,351000,,,,,342000,,,,,334000,,,,,328000
Dominican Republic,287000,,,,,332000,,,,,392000,,,,,470000,,,,,565000,,,,,673000,,,,,781000,,,,,871000,,,,,983000,,,,,1140000,,,,,1350000,,,,,1610000,,,,,1860000,,,,,2090000,,,,,2290000,,,,,2500000,,,,,2700000,,,,,2900000,,,,,3060000,,,,,3200000,,,,,3310000,,,,,3380000,,,,,3430000,,,,,3430000,,,,,3380000,,,,,3310000,,,,,3220000,,,,,3120000,,,,,3010000,,,,,2900000,,,,,2790000
Ecuador,549000,,,,,593000,,,,,642000,,,,,707000,,,,,793000,,,,,896000,,,,,1030000,,,,,1210000,,,,,1410000,,,,,1710000,,,,,2050000,,,,,2420000,,,,,2850000,,,,,3240000,,,,,3640000,,,,,4040000,,,,,4450000,,,,,4840000,,,,,5190000,,,,,5450000,,,,,5650000,,,,,5830000,,,,,5960000,,,,,6080000,,,,,6120000,,,,,6100000,,,,,6040000,,,,,5960000,,,,,5860000,,,,,5750000,,,,,5620000
Egypt,3290000,,,,,3750000,,,,,4260000,,,,,4840000,,,,,5490000,,,,,6250000,,,,,6880000,,,,,7320000,,,,,8460000,,,,,9540000,,,,,11100000,,,,,13100000,,,,,14700000,,,,,17000000,,,,,19800000,,,,,23200000,,,,,26900000,,,,,29400000,,,,,30600000,,,,,31600000,,,,,32700000,,,,,36600000,,,,,40400000,,,,,43100000,,,,,44900000,,,,,45000000,,,,,46100000,,,,,47800000,,,,,49200000,,,,,49800000,,,,,49600000
El Salvador,300000,,,,,328000,,,,,366000,,,,,417000,,,,,466000,,,,,539000,,,,,619000,,,,,694000,,,,,774000,,,,,871000,,,,,946000,,,,,1020000,,,,,1110000,,,,,1200000,,,,,1290000,,,,,1370000,,,,,1480000,,,,,1640000,,,,,1810000,,,,,1900000,,,,,1910000,,,,,1840000,,,,,1760000,,,,,1720000,,,,,1680000,,,,,1620000,,,,,1520000,,,,,1420000,,,,,1340000,,,,,1270000,,,,,1210000
Equatorial Guinea,41600,,,,,42400,,,,,44200,,,,,47000,,,,,50700,,,,,42700,,,,,40500,,,,,54600,,,,,62000,,,,,72700,,,,,84100,,,,,98700,,,,,125000,,,,,154000,,,,,176000,,,,,199000,,,,,252000,,,,,341000,,,,,445000,,,,,538000,,,,,618000,,,,,682000,,,,,742000,,,,,811000,,,,,877000,,,,,943000,,,,,1000000,,,,,1060000,,,,,1110000,,,,,1150000,,,,,1180000
Eritrea,142000,,,,,155000,,,,,176000,,,,,203000,,,,,237000,,,,,279000,,,,,325000,,,,,378000,,,,,428000,,,,,413000,,,,,434000,,,,,476000,,,,,497000,,,,,551000,,,,,678000,,,,,889000,,,,,1130000,,,,,1340000,,,,,1500000,,,,,1700000,,,,,1950000,,,,,2230000,,,,,2500000,,,,,2690000,,,,,2830000,,,,,3000000,,,,,3180000,,,,,3350000,,,,,3480000,,,,,3580000,,,,,3640000
Estonia,255000,,,,,278000,,,,,280000,,,,,291000,,,,,320000,,,,,342000,,,,,385000,,,,,386000,,,,,384000,,,,,366000,,,,,364000,,,,,370000,,,,,360000,,,,,356000,,,,,349000,,,,,347000,,,,,357000,,,,,338000,,,,,304000,,,,,273000,,,,,251000,,,,,245000,,,,,256000,,,,,256000,,,,,239000,,,,,224000,,,,,213000,,,,,209000,,,,,209000,,,,,209000,,,,,204000
Ethiopia,2400000,,,,,2680000,,,,,3030000,,,,,3390000,,,,,3820000,,,,,4320000,,,,,4760000,,,,,5390000,,,,,6290000,,,,,7220000,,,,,8060000,,,,,8960000,,,,,10400000,,,,,12300000,,,,,14700000,,,,,18000000,,,,,21700000,,,,,26600000,,,,,32500000,,,,,38300000,,,,,43600000,,,,,48200000,,,,,51800000,,,,,55100000,,,,,58200000,,,,,60500000,,,,,62000000,,,,,62900000,,,,,63400000,,,,,63400000,,,,,63000000
