country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Bahamas,23100,,,,,24400,,,,,30000,,,,,38000,,,,,47300,,,,,55000,,,,,63700,,,,,78000,,,,,88900,,,,,97400,,,,,98200,,,,,107000,,,,,117000,,,,,125000,,,,,131000,,,,,127000,,,,,123000,,,,,119000,,,,,117000,,,,,120000,,,,,119000,,,,,117000,,,,,114000,,,,,111000,,,,,109000,,,,,109000,,,,,108000,,,,,107000,,,,,105000,,,,,103000,,,,,101000
Bahrain,35000,,,,,40800,,,,,50400,,,,,57500,,,,,57500,,,,,82000,,,,,139000,,,,,176000,,,,,212000,,,,,240000,,,,,263000,,,,,386000,,,,,586000,,,,,620000,,,,,815000,,,,,798000,,,,,817000,,,,,817000,,,,,798000,,,,,787000,,,,,744000,,,,,697000,,,,,654000,,,,,623000,,,,,600000,,,,,575000,,,,,558000,,,,,545000,,,,,533000,,,,,519000,,,,,501000
Bangladesh,10700000,,,,,12100000,,,,,13800000,,,,,15500000,,,,,17400000,,,,,18200000,,,,,19900000,,,,,24200000,,,,,29800000,,,,,36000000,,,,,42200000,,,,,47400000,,,,,51100000,,,,,55100000,,,,,57900000,,,,,59900000,,,,,60400000,,,,,59900000,,,,,58500000,,,,,56300000,,,,,54200000,,,,,51900000,,,,,49200000,,,,,46700000,,,,,44400000,,,,,42400000,,,,,40600000,,,,,39000000,,,,,37500000,,,,,36100000,,,,,34800000
Barbados,63000,,,,,60700,,,,,54300,,,,,50100,,,,,53000,,,,,64900,,,,,75200,,,,,88400,,,,,94400,,,,,93700,,,,,85000,,,,,80900,,,,,77600,,,,,74200,,,,,72100,,,,,70200,,,,,69200,,,,,68200,,,,,67400,,,,,66100,,,,,64900,,,,,63600,,,,,62500,,,,,61600,,,,,60700,,,,,59900,,,,,59000,,,,,58100,,,,,57200,,,,,56400,,,,,55700
Belarus,2270000,,,,,2380000,,,,,2710000,,,,,2640000,,,,,2530000,,,,,2580000,,,,,2720000,,,,,3060000,,,,,3110000,,,,,3030000,,,,,2890000,,,,,2800000,,,,,2870000,,,,,2810000,,,,,2580000,,,,,2270000,,,,,2020000,,,,,1990000,,,,,2080000,,,,,2150000,,,,,2100000,,,,,1970000,,,,,1870000,,,,,1840000,,,,,1860000,,,,,1890000,,,,,1880000,,,,,1820000,,,,,1750000,,,,,1720000,,,,,1710000
Belgium,2450000,,,,,2450000,,,,,2560000,,,,,2430000,,,,,2500000,,,,,2610000,,,,,2820000,,,,,3050000,,,,,3060000,,,,,3040000,,,,,2890000,,,,,2790000,,,,,2830000,,,,,2890000,,,,,2890000,,,,,2830000,,,,,2810000,,,,,2800000,,,,,2850000,,,,,2890000,,,,,2880000,,,,,2860000,,,,,2830000,,,,,2830000,,,,,2840000,,,,,2860000,,,,,2870000,,,,,2860000,,,,,2830000,,,,,2820000,,,,,2810000
Belize,20200,,,,,20700,,,,,23100,,,,,24700,,,,,27600,,,,,29100,,,,,32800,,,,,43900,,,,,54000,,,,,59400,,,,,76300,,,,,92900,,,,,101000,,,,,118000,,,,,136000,,,,,151000,,,,,159000,,,,,164000,,,,,168000,,,,,172000,,,,,177000,,,,,180000,,,,,180000,,,,,178000,,,,,176000,,,,,174000,,,,,173000,,,,,170000,,,,,167000,,,,,164000,,,,,161000
Benin,594000,,,,,605000,,,,,637000,,,,,699000,,,,,766000,,,,,852000,,,,,962000,,,,,1100000,,,,,1300000,,,,,1580000,,,,,1860000,,,,,2210000,,,,,2560000,,,,,2990000,,,,,3500000,,,,,4060000,,,,,4690000,,,,,5350000,,,,,6030000,,,,,6730000,,,,,7420000,,,,,8100000,,,,,8780000,,,,,9440000,,,,,10100000,,,,,10600000,,,,,11200000,,,,,11700000,,,,,12100000,,,,,12500000,,,,,12900000
Bhutan,49700,,,,,57900,,,,,66700,,,,,76100,,,,,89600,,,,,101000,,,,,115000,,,,,126000,,,,,143000,,,,,141000,,,,,166000,,,,,219000,,,,,264000,,,,,299000,,,,,311000,,,,,306000,,,,,295000,,,,,284000,,,,,278000,,,,,273000,,,,,263000,,,,,252000,,,,,239000,,,,,227000,,,,,218000,,,,,211000,,,,,205000,,,,,198000,,,,,191000,,,,,185000,,,,,179000
Bolivia,833000,,,,,896000,,,,,977000,,,,,1090000,,,,,1200000,,,,,1380000,,,,,1570000,,,,,1730000,,,,,1930000,,,,,2140000,,,,,2430000,,,,,2740000,,,,,3060000,,,,,3370000,,,,,3670000,,,,,3930000,,,,,4150000,,,,,4300000,,,,,4410000,,,,,4500000,,,,,4580000,,,,,4650000,,,,,4670000,,,,,4650000,,,,,4610000,,,,,4550000,,,,,4480000,,,,,4400000,,,,,4310000,,,,,4210000,,,,,4110000
Bosnia and Herzegovina,724000,,,,,868000,,,,,1050000,,,,,1110000,,,,,1150000,,,,,1210000,,,,,1290000,,,,,1510000,,,,,1510000,,,,,1220000,,,,,1130000,,,,,1100000,,,,,1080000,,,,,974000,,,,,958000,,,,,886000,,,,,811000,,,,,735000,,,,,663000,,,,,649000,,,,,633000,,,,,615000,,,,,588000,,,,,556000,,,,,528000,,,,,512000,,,,,505000,,,,,496000,,,,,483000,,,,,465000,,,,,449000
Botswana,113000,,,,,132000,,,,,141000,,,,,151000,,,,,171000,,,,,214000,,,,,273000,,,,,330000,,,,,400000,,,,,472000,,,,,550000,,,,,634000,,,,,721000,,,,,797000,,,,,845000,,,,,858000,,,,,880000,,,,,922000,,,,,965000,,,,,1000000,,,,,1020000,,,,,1010000,,,,,998000,,,,,989000,,,,,983000,,,,,974000,,,,,959000,,,,,939000,,,,,918000,,,,,899000,,,,,883000
Brazil,15700000,,,,,17700000,,,,,20300000,,,,,22800000,,,,,26100000,,,,,30800000,,,,,36200000,,,,,42700000,,,,,48400000,,,,,53100000,,,,,57900000,,,,,62500000,,,,,66100000,,,,,68500000,,,,,69200000,,,,,67600000,,,,,65000000,,,,,62600000,,,,,59600000,,,,,56900000,,,,,54800000,,,,,52400000,,,,,50000000,,,,,47900000,,,,,46100000,,,,,44500000,,,,,43100000,,,,,41700000,,,,,40500000,,,,,39300000,,,,,38200000
Brunei,13900,,,,,18400,,,,,22800,,,,,26600,,,,,33300,,,,,44700,,,,,66500,,,,,78500,,,,,101000,,,,,114000,,,,,132000,,,,,141000,,,,,147000,,,,,150000,,,,,150000,,,,,145000,,,,,138000,,,,,137000,,,,,135000,,,,,133000,,,,,132000,,,,,128000,,,,,123000,,,,,119000,,,,,116000,,,,,114000,,,,,112000,,,,,109000,,,,,106000,,,,,104000,,,,,101000
Bulgaria,2320000,,,,,2400000,,,,,2550000,,,,,2470000,,,,,2490000,,,,,2490000,,,,,2520000,,,,,2560000,,,,,2420000,,,,,2280000,,,,,2240000,,,,,2170000,,,,,2080000,,,,,1900000,,,,,1650000,,,,,1460000,,,,,1320000,,,,,1250000,,,,,1260000,,,,,1250000,,,,,1170000,,,,,1100000,,,,,1040000,,,,,1000000,,,,,988000,,,,,974000,,,,,947000,,,,,906000,,,,,867000,,,,,839000,,,,,821000
Burkina Faso,1300000,,,,,1320000,,,,,1370000,,,,,1420000,,,,,1510000,,,,,1620000,,,,,1760000,,,,,1960000,,,,,2260000,,,,,2640000,,,,,3120000,,,,,3690000,,,,,4340000,,,,,5080000,,,,,5940000,,,,,6950000,,,,,8170000,,,,,9500000,,,,,10900000,,,,,12200000,,,,,13600000,,,,,14900000,,,,,16300000,,,,,17600000,,,,,18800000,,,,,19800000,,,,,20800000,,,,,21600000,,,,,22300000,,,,,22900000,,,,,23400000
Burundi,673000,,,,,717000,,,,,766000,,,,,818000,,,,,881000,,,,,940000,,,,,1140000,,,,,1320000,,,,,1510000,,,,,1470000,,,,,1490000,,,,,1920000,,,,,2440000,,,,,2960000,,,,,3460000,,,,,3930000,,,,,4510000,,,,,5260000,,,,,6200000,,,,,7180000,,,,,8040000,,,,,8850000,,,,,9690000,,,,,10600000,,,,,11600000,,,,,12500000,,,,,13300000,,,,,14000000,,,,,14600000,,,,,15300000,,,,,15900000
Cambodia,1280000,,,,,1410000,,,,,1540000,,,,,1690000,,,,,1800000,,,,,2040000,,,,,1940000,,,,,2200000,,,,,2530000,,,,,2950000,,,,,3230000,,,,,4000000,,,,,4570000,,,,,5240000,,,,,6000000,,,,,5680000,,,,,5950000,,,,,6010000,,,,,6180000,,,,,6400000,,,,,6410000,,,,,6310000,,,,,6200000,,,,,6130000,,,,,6060000,,,,,5940000,,,,,5760000,,,,,5580000,,,,,5420000,,,,,5270000,,,,,5130000
Cameroon,1260000,,,,,1370000,,,,,1490000,,,,,1620000,,,,,1780000,,,,,1970000,,,,,2210000,,,,,2550000,,,,,2970000,,,,,3490000,,,,,4110000,,,,,4910000,,,,,5830000,,,,,6790000,,,,,7760000,,,,,8840000,,,,,10100000,,,,,11500000,,,,,12900000,,,,,14300000,,,,,15600000,,,,,16800000,,,,,18100000,,,,,19300000,,,,,20500000,,,,,21600000,,,,,22500000,,,,,23400000,,,,,24100000,,,,,24800000,,,,,25300000
Canada,4220000,,,,,4600000,,,,,4920000,,,,,5130000,,,,,5950000,,,,,7120000,,,,,8260000,,,,,9180000,,,,,9520000,,,,,9400000,,,,,9100000,,,,,8930000,,,,,9370000,,,,,9860000,,,,,10100000,,,,,9930000,,,,,9970000,,,,,9900000,,,,,10100000,,,,,10400000,,,,,10600000,,,,,10600000,,,,,10700000,,,,,10700000,,,,,10800000,,,,,11000000,,,,,11100000,,,,,11100000,,,,,11100000,,,,,11100000,,,,,11100000
Cape Verde,48900,,,,,52600,,,,,53300,,,,,56800,,,,,56100,,,,,56000,,,,,55900,,,,,78800,,,,,91200,,,,,107000,,,,,121000,,,,,138000,,,,,160000,,,,,183000,,,,,203000,,,,,212000,,,,,214000,,,,,212000,,,,,210000,,,,,210000,,,,,208000,,,,,205000,,,,,199000,,,,,191000,,,,,185000,,,,,179000,,,,,173000,,,,,168000,,,,,163000,,,,,158000,,,,,153000
Central African Republic,383000,,,,,405000,,,,,431000,,,,,466000,,,,,503000,,,,,534000,,,,,600000,,,,,708000,,,,,783000,,,,,926000,,,,,1060000,,,,,1190000,,,,,1280000,,,,,1240000,,,,,1400000,,,,,1670000,,,,,1960000,,,,,2220000,,,,,2420000,,,,,2610000,,,,,2820000,,,,,3040000,,,,,3260000,,,,,3420000,,,,,3530000,,,,,3610000,,,,,3680000,,,,,3750000,,,,,3790000,,,,,3800000,,,,,3780000
Chad,726000,,,,,774000,,,,,829000,,,,,891000,,,,,956000,,,,,1080000,,,,,1180000,,,,,1310000,,,,,1520000,,,,,1760000,,,,,2090000,,,,,2550000,,,,,3090000,,,,,3770000,,,,,4540000,,,,,5430000,,,,,6420000,,,,,7470000,,,,,8570000,,,,,9690000,,,,,10800000,,,,,11900000,,,,,12900000,,,,,13800000,,,,,14700000,,,,,15500000,,,,,16100000,,,,,16700000,,,,,17200000,,,,,17600000,,,,,18000000
Chile,1790000,,,,,1930000,,,,,2090000,,,,,2330000,,,,,2610000,,,,,3030000,,,,,3510000,,,,,3990000,,,,,4470000,,,,,4750000,,,,,4900000,,,,,5030000,,,,,5220000,,,,,5410000,,,,,5550000,,,,,5530000,,,,,5370000,,,,,5170000,,,,,5030000,,,,,4930000,,,,,4810000,,,,,4700000,,,,,4570000,,,,,4450000,,,,,4340000,,,,,4240000,,,,,4160000,,,,,4070000,,,,,3980000,,,,,3900000,,,,,3820000
China,166000000,,,,,175000000,,,,,183000000,,,,,192000000,,,,,214000000,,,,,256000000,,,,,293000000,,,,,349000000,,,,,412000000,,,,,443000000,,,,,453000000,,,,,448000000,,,,,449000000,,,,,429000000,,,,,412000000,,,,,386000000,,,,,338000000,,,,,322000000,,,,,322000000,,,,,316000000,,,,,302000000,,,,,282000000,,,,,266000000,,,,,257000000,,,,,252000000,,,,,246000000,,,,,238000000,,,,,229000000,,,,,221000000,,,,,214000000,,,,,210000000
Colombia,3450000,,,,,3780000,,,,,4190000,,,,,4690000,,,,,5530000,,,,,6730000,,,,,8190000,,,,,9890000,,,,,11500000,,,,,12500000,,,,,13500000,,,,,14300000,,,,,15000000,,,,,15800000,,,,,16000000,,,,,15900000,,,,,15600000,,,,,15100000,,,,,14600000,,,,,13900000,,,,,13300000,,,,,12700000,,,,,12200000,,,,,11700000,,,,,11300000,,,,,10900000,,,,,10500000,,,,,10200000,,,,,9830000,,,,,9540000,,,,,9260000
Comoros,49000,,,,,52200,,,,,54200,,,,,56000,,,,,58800,,,,,65700,,,,,80200,,,,,94400,,,,,112000,,,,,130000,,,,,151000,,,,,177000,,,,,207000,,,,,238000,,,,,268000,,,,,297000,,,,,328000,,,,,364000,,,,,399000,,,,,432000,,,,,460000,,,,,484000,,,,,507000,,,,,530000,,,,,551000,,,,,568000,,,,,581000,,,,,591000,,,,,598000,,,,,603000,,,,,605000
"Congo, Dem. Rep.",3330000,,,,,3760000,,,,,4270000,,,,,4890000,,,,,5620000,,,,,6320000,,,,,7170000,,,,,8030000,,,,,9250000,,,,,11100000,,,,,12600000,,,,,14700000,,,,,17200000,,,,,20200000,,,,,23900000,,,,,28500000,,,,,34100000,,,,,40700000,,,,,47800000,,,,,55100000,,,,,62300000,,,,,69400000,,,,,76300000,,,,,82800000,,,,,88500000,,,,,93300000,,,,,97200000,,,,,100000000,,,,,103000000,,,,,105000000,,,,,106000000
"Congo, Rep.",240000,,,,,263000,,,,,290000,,,,,321000,,,,,359000,,,,,413000,,,,,473000,,,,,557000,,,,,661000,,,,,797000,,,,,962000,,,,,1130000,,,,,1330000,,,,,1420000,,,,,1570000,,,,,1790000,,,,,2120000,,,,,2500000,,,,,2850000,,,,,3180000,,,,,3490000,,,,,3830000,,,,,4210000,,,,,4590000,,,,,4940000,,,,,5250000,,,,,5540000,,,,,5840000,,,,,6120000,,,,,6380000,,,,,6590000
Costa Rica,267000,,,,,307000,,,,,358000,,,,,421000,,,,,506000,,,,,599000,,,,,731000,,,,,885000,,,,,1010000,,,,,1130000,,,,,1250000,,,,,1350000,,,,,1450000,,,,,1560000,,,,,1620000,,,,,1590000,,,,,1540000,,,,,1480000,,,,,1420000,,,,,1390000,,,,,1340000,,,,,1290000,,,,,1240000,,,,,1200000,,,,,1170000,,,,,1140000,,,,,1110000,,,,,1080000,,,,,1050000,,,,,1020000,,,,,999000
Cote d'Ivoire,759000,,,,,890000,,,,,1050000,,,,,1270000,,,,,1470000,,,,,1830000,,,,,2260000,,,,,2770000,,,,,3310000,,,,,3980000,,,,,4650000,,,,,5050000,,,,,5640000,,,,,6550000,,,,,7620000,,,,,8780000,,,,,10000000,,,,,11300000,,,,,12800000,,,,,14300000,,,,,15900000,,,,,17600000,,,,,19200000,,,,,20800000,,,,,22400000,,,,,24000000,,,,,25500000,,,,,27000000,,,,,28300000,,,,,29600000,,,,,30800000
Croatia,1100000,,,,,1210000,,,,,1350000,,,,,1330000,,,,,1340000,,,,,1330000,,,,,1350000,,,,,1450000,,,,,1430000,,,,,1290000,,,,,1210000,,,,,1180000,,,,,1160000,,,,,1100000,,,,,1020000,,,,,924000,,,,,868000,,,,,838000,,,,,792000,,,,,766000,,,,,716000,,,,,673000,,,,,645000,,,,,627000,,,,,611000,,,,,595000,,,,,574000,,,,,552000,,,,,533000,,,,,519000,,,,,509000
Cuba,1760000,,,,,1890000,,,,,2090000,,,,,2240000,,,,,2370000,,,,,2610000,,,,,2790000,,,,,3240000,,,,,3740000,,,,,4020000,,,,,3960000,,,,,3550000,,,,,3250000,,,,,2950000,,,,,2910000,,,,,2810000,,,,,2550000,,,,,2430000,,,,,2330000,,,,,2290000,,,,,2250000,,,,,2150000,,,,,2060000,,,,,1970000,,,,,1910000,,,,,1870000,,,,,1830000,,,,,1780000,,,,,1720000,,,,,1660000,,,,,1620000
Cyprus,142000,,,,,147000,,,,,153000,,,,,156000,,,,,165000,,,,,198000,,,,,230000,,,,,234000,,,,,248000,,,,,273000,,,,,298000,,,,,331000,,,,,372000,,,,,393000,,,,,380000,,,,,363000,,,,,350000,,,,,341000,,,,,330000,,,,,319000,,,,,309000,,,,,300000,,,,,294000,,,,,293000,,,,,291000,,,,,288000,,,,,284000,,,,,279000,,,,,276000,,,,,274000,,,,,272000
Czech Republic,2580000,,,,,2500000,,,,,2600000,,,,,2570000,,,,,2730000,,,,,2960000,,,,,3140000,,,,,3050000,,,,,2870000,,,,,2900000,,,,,3110000,,,,,3140000,,,,,3230000,,,,,2990000,,,,,2550000,,,,,2310000,,,,,2210000,,,,,2160000,,,,,2250000,,,,,2280000,,,,,2180000,,,,,2080000,,,,,2020000,,,,,2000000,,,,,2030000,,,,,2050000,,,,,2030000,,,,,1980000,,,,,1930000,,,,,1900000,,,,,1890000
Denmark,1240000,,,,,1200000,,,,,1180000,,,,,1240000,,,,,1370000,,,,,1470000,,,,,1530000,,,,,1550000,,,,,1540000,,,,,1560000,,,,,1530000,,,,,1420000,,,,,1380000,,,,,1400000,,,,,1450000,,,,,1510000,,,,,1540000,,,,,1470000,,,,,1440000,,,,,1450000,,,,,1460000,,,,,1510000,,,,,1530000,,,,,1520000,,,,,1500000,,,,,1490000,,,,,1500000,,,,,1510000,,,,,1520000,,,,,1510000,,,,,1490000
Djibouti,16900,,,,,19700,,,,,24100,,,,,32800,,,,,45500,,,,,60500,,,,,94500,,,,,118000,,,,,165000,,,,,182000,,,,,219000,,,,,241000,,,,,280000,,,,,319000,,,,,348000,,,,,374000,,,,,378000,,,,,383000,,,,,385000,,,,,387000,,,,,391000,,,,,389000,,,,,382000,,,,,373000,,,,,362000,,,,,353000,,,,,345000,,,,,337000,,,,,329000,,,,,320000,,,,,311000
Dominican Republic,639000,,,,,757000,,,,,874000,,,,,975000,,,,,1110000,,,,,1310000,,,,,1580000,,,,,1900000,,,,,2200000,,,,,2460000,,,,,2670000,,,,,2880000,,,,,3080000,,,,,3280000,,,,,3430000,,,,,3550000,,,,,3650000,,,,,3700000,,,,,3740000,,,,,3720000,,,,,3650000,,,,,3550000,,,,,3440000,,,,,3320000,,,,,3200000,,,,,3070000,,,,,2950000,,,,,2830000,,,,,2720000,,,,,2620000,,,,,2520000
Ecuador,929000,,,,,1030000,,,,,1170000,,,,,1350000,,,,,1560000,,,,,1880000,,,,,2260000,,,,,2670000,,,,,3160000,,,,,3610000,,,,,3990000,,,,,4340000,,,,,4740000,,,,,5120000,,,,,5450000,,,,,5690000,,,,,5870000,,,,,6030000,,,,,6150000,,,,,6260000,,,,,6280000,,,,,6250000,,,,,6170000,,,,,6080000,,,,,5970000,,,,,5840000,,,,,5700000,,,,,5560000,,,,,5420000,,,,,5280000,,,,,5150000
Egypt,6210000,,,,,6950000,,,,,7510000,,,,,7970000,,,,,9030000,,,,,10000000,,,,,11600000,,,,,13800000,,,,,15800000,,,,,17800000,,,,,20400000,,,,,23900000,,,,,27700000,,,,,30300000,,,,,31600000,,,,,32500000,,,,,33500000,,,,,37400000,,,,,41300000,,,,,44000000,,,,,45800000,,,,,45800000,,,,,46900000,,,,,48400000,,,,,49800000,,,,,50400000,,,,,50100000,,,,,49600000,,,,,49300000,,,,,49000000,,,,,48500000
El Salvador,598000,,,,,662000,,,,,740000,,,,,839000,,,,,956000,,,,,1100000,,,,,1220000,,,,,1330000,,,,,1470000,,,,,1620000,,,,,1710000,,,,,1750000,,,,,1820000,,,,,1950000,,,,,2090000,,,,,2160000,,,,,2150000,,,,,2060000,,,,,1960000,,,,,1910000,,,,,1860000,,,,,1780000,,,,,1670000,,,,,1550000,,,,,1460000,,,,,1380000,,,,,1310000,,,,,1240000,,,,,1170000,,,,,1100000,,,,,1040000
Equatorial Guinea,65800,,,,,69000,,,,,72000,,,,,77400,,,,,84500,,,,,73200,,,,,72200,,,,,98400,,,,,117000,,,,,139000,,,,,183000,,,,,250000,,,,,334000,,,,,429000,,,,,533000,,,,,626000,,,,,705000,,,,,759000,,,,,816000,,,,,883000,,,,,946000,,,,,1010000,,,,,1070000,,,,,1120000,,,,,1160000,,,,,1200000,,,,,1230000,,,,,1260000,,,,,1270000,,,,,1280000,,,,,1280000
Eritrea,306000,,,,,350000,,,,,401000,,,,,462000,,,,,527000,,,,,582000,,,,,656000,,,,,746000,,,,,825000,,,,,717000,,,,,834000,,,,,1140000,,,,,1350000,,,,,1500000,,,,,1670000,,,,,1870000,,,,,2110000,,,,,2400000,,,,,2670000,,,,,2870000,,,,,3010000,,,,,3160000,,,,,3340000,,,,,3500000,,,,,3630000,,,,,3710000,,,,,3770000,,,,,3800000,,,,,3830000,,,,,3850000,,,,,3840000
Estonia,305000,,,,,333000,,,,,387000,,,,,401000,,,,,410000,,,,,420000,,,,,430000,,,,,450000,,,,,456000,,,,,398000,,,,,392000,,,,,381000,,,,,383000,,,,,358000,,,,,322000,,,,,289000,,,,,264000,,,,,257000,,,,,268000,,,,,268000,,,,,249000,,,,,234000,,,,,222000,,,,,216000,,,,,216000,,,,,215000,,,,,210000,,,,,201000,,,,,192000,,,,,187000,,,,,184000
