country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Botswana,62200,,,,,87000,,,,,100000,,,,,114000,,,,,132000,,,,,155000,,,,,188000,,,,,216000,,,,,216000,,,,,219000,,,,,221000,,,,,220000,,,,,232000,,,,,256000,,,,,256000,,,,,252000,,,,,246000,,,,,243000,,,,,243000,,,,,243000,,,,,240000,,,,,235000,,,,,228000,,,,,223000,,,,,219000,,,,,216000,,,,,213000,,,,,209000,,,,,204000,,,,,200000,,,,,197000
Brazil,8980000,,,,,10800000,,,,,12300000,,,,,14100000,,,,,14800000,,,,,15400000,,,,,17000000,,,,,18400000,,,,,18000000,,,,,17500000,,,,,17600000,,,,,16400000,,,,,15200000,,,,,14900000,,,,,14300000,,,,,13600000,,,,,12900000,,,,,12300000,,,,,11800000,,,,,11400000,,,,,11000000,,,,,10700000,,,,,10300000,,,,,9990000,,,,,9700000,,,,,9450000,,,,,9220000,,,,,8990000,,,,,8770000,,,,,8560000,,,,,8360000
Brunei,6670,,,,,12600,,,,,16100,,,,,18700,,,,,20800,,,,,25800,,,,,28700,,,,,31500,,,,,34100,,,,,37500,,,,,34900,,,,,32900,,,,,31400,,,,,33500,,,,,33000,,,,,31800,,,,,30500,,,,,29200,,,,,28300,,,,,28000,,,,,27900,,,,,27300,,,,,26400,,,,,25600,,,,,24900,,,,,24600,,,,,24300,,,,,23900,,,,,23400,,,,,22800,,,,,22300
Bulgaria,733000,,,,,702000,,,,,663000,,,,,644000,,,,,647000,,,,,679000,,,,,680000,,,,,608000,,,,,558000,,,,,420000,,,,,322000,,,,,328000,,,,,358000,,,,,336000,,,,,322000,,,,,302000,,,,,278000,,,,,261000,,,,,261000,,,,,264000,,,,,257000,,,,,245000,,,,,231000,,,,,220000,,,,,215000,,,,,213000,,,,,210000,,,,,203000,,,,,195000,,,,,187000,,,,,182000
Burkina Faso,692000,,,,,734000,,,,,806000,,,,,881000,,,,,987000,,,,,1100000,,,,,1280000,,,,,1480000,,,,,1660000,,,,,1890000,,,,,2170000,,,,,2490000,,,,,2840000,,,,,3160000,,,,,3470000,,,,,3800000,,,,,4150000,,,,,4480000,,,,,4800000,,,,,5060000,,,,,5290000,,,,,5500000,,,,,5690000,,,,,5860000,,,,,5990000,,,,,6080000,,,,,6130000,,,,,6150000,,,,,6130000,,,,,6100000,,,,,6050000
Burundi,377000,,,,,463000,,,,,505000,,,,,562000,,,,,629000,,,,,658000,,,,,775000,,,,,939000,,,,,1090000,,,,,1150000,,,,,1150000,,,,,1280000,,,,,1580000,,,,,1850000,,,,,2100000,,,,,2270000,,,,,2420000,,,,,2640000,,,,,2920000,,,,,3190000,,,,,3390000,,,,,3540000,,,,,3680000,,,,,3850000,,,,,4040000,,,,,4180000,,,,,4280000,,,,,4320000,,,,,4360000,,,,,4400000,,,,,4430000
Cambodia,740000,,,,,964000,,,,,1070000,,,,,1180000,,,,,1210000,,,,,1250000,,,,,893000,,,,,1500000,,,,,1730000,,,,,1770000,,,,,1570000,,,,,1530000,,,,,1670000,,,,,1760000,,,,,1780000,,,,,1710000,,,,,1660000,,,,,1640000,,,,,1640000,,,,,1610000,,,,,1560000,,,,,1490000,,,,,1440000,,,,,1400000,,,,,1370000,,,,,1330000,,,,,1280000,,,,,1240000,,,,,1200000,,,,,1160000,,,,,1130000
Cameroon,672000,,,,,749000,,,,,835000,,,,,974000,,,,,1140000,,,,,1340000,,,,,1580000,,,,,1900000,,,,,2190000,,,,,2410000,,,,,2610000,,,,,2980000,,,,,3390000,,,,,3740000,,,,,4020000,,,,,4300000,,,,,4590000,,,,,4900000,,,,,5200000,,,,,5470000,,,,,5710000,,,,,5920000,,,,,6100000,,,,,6270000,,,,,6430000,,,,,6540000,,,,,6620000,,,,,6660000,,,,,6670000,,,,,6650000,,,,,6620000
Canada,1640000,,,,,1940000,,,,,2230000,,,,,2250000,,,,,1880000,,,,,1770000,,,,,1790000,,,,,1850000,,,,,1930000,,,,,1990000,,,,,1790000,,,,,1720000,,,,,1880000,,,,,1940000,,,,,1990000,,,,,2010000,,,,,2020000,,,,,2020000,,,,,2070000,,,,,2160000,,,,,2230000,,,,,2280000,,,,,2310000,,,,,2330000,,,,,2360000,,,,,2400000,,,,,2430000,,,,,2460000,,,,,2470000,,,,,2470000,,,,,2470000
Cape Verde,19300,,,,,38400,,,,,37300,,,,,44100,,,,,49200,,,,,46500,,,,,49600,,,,,57000,,,,,63100,,,,,63400,,,,,62400,,,,,58900,,,,,56000,,,,,54800,,,,,55200,,,,,54300,,,,,52200,,,,,49900,,,,,47900,,,,,46300,,,,,45000,,,,,43600,,,,,42200,,,,,40700,,,,,39300,,,,,38200,,,,,37200,,,,,36200,,,,,35300,,,,,34400,,,,,33500
